playlist,name,sourceUrl,author,album,mood,size,preload,defaultHash,privilegeName,url1,url2,url
Beats,Future Bounce,https://staticssl.gotokeep.com/audio/2017/10/16/15/57c9005168000000.mp3,Borksford,,Beats,5630006,normal,56118d700c2ddf47bf012ea341aec451,trainingBeatsKG9,https://staticssl.gotokeep,/audio/2017/10/16/15/57c9005168000000.mp3,https://static1.keepcdns.com/audio/2017/10/16/15/57c9005168000000.mp3
Beats,Dance Story,https://staticssl.gotokeep.com/audio/2017/10/13/14/57c52050c3c00000.mp3,Sound Boxx,,Beats,5592390,normal,3ae9825d8362b8897241400bd0ffdfb1,,https://staticssl.gotokeep,/audio/2017/10/13/14/57c52050c3c00000.mp3,https://static1.keepcdns.com/audio/2017/10/13/14/57c52050c3c00000.mp3
Beats,Energetic Dance,https://staticssl.gotokeep.com/audio/2017/10/13/14/57c520c812400000.mp3,Micrah,,Beats,4380279,normal,5c74342fa3648cd629e72c5816d32aa8,trainingBeatsKG1,https://staticssl.gotokeep,/audio/2017/10/13/14/57c520c812400000.mp3,https://static1.keepcdns.com/audio/2017/10/13/14/57c520c812400000.mp3
Beats,Electro Rock Sport Dance,https://staticssl.gotokeep.com/audio/2017/10/13/14/57c52125cb800000.mp3,Trigubovich,,Beats,3902761,normal,59e485e9643bd78467227e175ef36c65,trainingBeatsKG3,https://staticssl.gotokeep,/audio/2017/10/13/14/57c52125cb800000.mp3,https://static1.keepcdns.com/audio/2017/10/13/14/57c52125cb800000.mp3
Beats,Flashing Lights,https://staticssl.gotokeep.com/audio/2017/10/13/14/57c521d9c3000000.mp3,Stepan Bersin,,Beats,11319446,normal,2ee43a978ad3dbc80decd4aadfc2fde6,trainingBeatsKG3,https://staticssl.gotokeep,/audio/2017/10/13/14/57c521d9c3000000.mp3,https://static1.keepcdns.com/audio/2017/10/13/14/57c521d9c3000000.mp3
Beats,Dance Party Upbeat House,https://staticssl.gotokeep.com/audio/2017/10/13/14/57c5221404c00000.mp3,Maikon Music,,Beats,5152459,normal,426917ff894790cf2f0b604661bf6c4b,trainingBeatsKG5,https://staticssl.gotokeep,/audio/2017/10/13/14/57c5221404c00000.mp3,https://static1.keepcdns.com/audio/2017/10/13/14/57c5221404c00000.mp3
Beats,Stronger,https://staticssl.gotokeep.com/audio/2017/10/13/15/57c5224b33400000.mp3,Evienis,,Beats,4503577,normal,b6842cf74c3a4e6143e218e5e212521c,trainingBeatsKG5,https://staticssl.gotokeep,/audio/2017/10/13/15/57c5224b33400000.mp3,https://static1.keepcdns.com/audio/2017/10/13/15/57c5224b33400000.mp3
Beats,Fun Event,https://staticssl.gotokeep.com/audio/2017/10/13/15/57c522992b400000.mp3,Sound Wizard,,Beats,6103316,normal,0277c47fa1148b3836c46c734bd675e0,trainingBeatsKG7,https://staticssl.gotokeep,/audio/2017/10/13/15/57c522992b400000.mp3,https://static1.keepcdns.com/audio/2017/10/13/15/57c522992b400000.mp3
Beats,Dance Energy,https://staticssl.gotokeep.com/audio/2017/10/13/15/57c52306b7000000.mp3,Tim Taj Sound,,Beats,6722940,normal,f52bab802a9ee92c784892913fb05b23,trainingBeatsKG7,https://staticssl.gotokeep,/audio/2017/10/13/15/57c52306b7000000.mp3,https://static1.keepcdns.com/audio/2017/10/13/15/57c52306b7000000.mp3
Cheerful,Colorful And Shiny,https://staticssl.gotokeep.com/audio/2018/01/02/12/582d4d702f000000.mp3,soundroll,Colorful And Shiny,Energy,1850464,normal,6964ed06424213180dfa3d5344f1a6d9,,https://staticssl.gotokeep,/audio/2018/01/02/12/582d4d702f000000.mp3,https://static1.keepcdns.com/audio/2018/01/02/12/582d4d702f000000.mp3
Cheerful,Stomps Claps Happy Acoustic Kit,https://staticssl.gotokeep.com/audio/2017/08/21/12/5780c6e6cb400000.mp3,sound bound,Stomps Claps Happy Acoustic Kit,Energy,5498252,normal,82738a7816c5284ff89a98db82d7bf8a,,https://staticssl.gotokeep,/audio/2017/08/21/12/5780c6e6cb400000.mp3,https://static1.keepcdns.com/audio/2017/08/21/12/5780c6e6cb400000.mp3
Cheerful,Happy Upbeat,https://staticssl.gotokeep.com/audio/2017/08/21/12/5780c7eef4000000.mp3,docwaxler,Happy Upbeat Kit,Energy,6327901,normal,9eb72ca8d9a3178d4e7890e934666599,,https://staticssl.gotokeep,/audio/2017/08/21/12/5780c7eef4000000.mp3,https://static1.keepcdns.com/audio/2017/08/21/12/5780c7eef4000000.mp3
Cheerful,The Educational,https://staticssl.gotokeep.com/audio/2017/08/21/13/5780d12ff8800000.mp3,ArtArea Studio,The Educational,Energy,6007356,normal,2413f95a63838cc8c01de74f51bec9c1,,https://staticssl.gotokeep,/audio/2017/08/21/13/5780d12ff8800000.mp3,https://static1.keepcdns.com/audio/2017/08/21/13/5780d12ff8800000.mp3
